arg= 2016-07-27-gut-73837.json 

arg= 2016-07-28-gut-73814.json 

arg= 2016-07-29-gut-74607.json 

arg= 2016-07-31-gut1-74573.json 

arg= 2016-08-01-gut-74561.json 

arg= 2016-08-02-gut-75657.json 

arg= 2016-08-03-gut-75637.json 

arg= 2016-08-04-gut-75625.json 

arg= 2016-08-04-gut-78351.json 

arg= 2016-08-05-gut-75519.json 

tax_name,tax_rank,2016-07-26-gut-73813.json,2016-07-27-gut-73837.json,2016-07-28-gut-73814.json,2016-07-29-gut-74607.json,2016-07-31-gut1-74573.json,2016-08-01-gut-74561.json,2016-08-02-gut-75657.json,2016-08-03-gut-75637.json,2016-08-04-gut-75625.json,2016-08-04-gut-78351.json,2016-08-05-gut-75519.json
Proteobacteria,phylum,17851,20657,17486,20290,19008,18233,7495,33672,9156,16387,21848
Gammaproteobacteria,class,345,1062,583,1158,1384,1136,877,1916,240,69,27
Firmicutes,phylum,565322,650955,668190,631708,425297,652961,400373,392318,549396,702710,644158
Sarcina,genus,35191,43709,43927,51724,50747,63700,58954,38830,61584,70011,65303
Streptococcaceae,family,9850,13432,14710,10677,4489,8044,4975,2855,8108,5029,3765
Streptococcus,genus,8737,12236,13386,9346,3656,6301,4080,2328,6905,4366,3305
Streptococcus thermophilus,species,2827,5983,6764,4300,1075,1652,812,411,910,1229,839
Enterococcus,genus,451,463,346,399,53,142,0,0,68,0,0
Lactococcus,genus,240,314,473,239,53,77,48,0,34,55,27
Bacillales,order,75,74,47,119,147,154,48,115,103,151,81
Clostridium,genus,2406,2079,1860,2223,2016,5242,2991,1556,3762,3329,3697
Lactobacillus,genus,270,643,394,426,161,503,211,257,274,234,81
Bifidobacterium,genus,8692,12475,18621,17294,21145,22016,28127,20244,25320,67966,59573
Eubacterium,genus,30,104,94,306,201,129,227,90,51,165,189
Actinobacteria,class,21581,26955,34057,32352,27625,35782,36127,26933,35181,86895,73186
Archaea,superkingdom,15896,28197,36596,35401,18779,25309,23428,14881,13811,33948,28432
Methanobacteriales,order,15069,27359,35776,34509,17865,24508,22323,14508,11303,33561,27741
Methanobacteriaceae,family,15069,27359,35744,34509,17865,24508,22323,14508,11303,33561,27741
Methanobrevibacter,genus,15069,27359,35744,34509,17865,24508,22323,14508,11303,33561,27741
Methanobrevibacter smithii,species,15069,27359,35744,34509,17865,24508,22323,14508,11303,33561,27741
Peptococcus,genus,421,388,204,319,228,464,341,180,463,248,176
Lachnospira,genus,20077,18234,17470,13833,5538,9658,8828,7704,23414,10459,7585
Odoribacter splanchnicus,species,1669,1436,1624,1451,483,1097,747,655,1803,939,1625
Alphaproteobacteria,class,3098,1735,898,3701,4221,2453,65,19601,206,1022,2086
Betaproteobacteria,class,9925,13014,11147,9892,8119,9297,699,7948,1254,10970,14290
Deltaproteobacteria,class,4481,4846,4856,5511,5256,5320,5853,4205,7455,4324,5445
Euryarchaeota,phylum,15896,28197,36596,35401,18779,25309,23428,14881,13811,33948,28432
Bifidobacteriaceae,family,8692,12475,18621,17294,21145,22016,28127,20360,25320,67966,59573
Mollicutes,class,75,0,31,39,53,77,0,0,0,179,609
Veillonellaceae,family,4511,3934,3500,4393,1613,4532,2276,1427,3349,5222,5905
Clostridiaceae,family,44681,58757,63227,63907,55990,73772,65506,43319,71427,77652,71737
Acetitomaculum,genus,60,762,1056,66,26,25,0,0,34,290,40
Phascolarctobacterium,genus,1864,2916,3011,3062,2661,1807,2016,2868,1339,1381,907
Phascolarctobacterium faecium,species,1864,2916,3011,2982,2567,1807,2016,2816,1339,1381,907
Lactobacillaceae,family,3489,2797,2160,2889,2083,3060,1739,1633,3744,1906,2004
Bilophila,genus,2992,3006,3311,3514,3575,3551,3983,2778,5668,2984,4036
Terrisporobacter glycolicus,species,75,29,126,66,0,0,0,0,0,138,135
Dorea formicigenerans,species,2481,2557,4162,2955,618,1988,1577,1054,3573,5139,3467
Dialister,genus,4256,3814,3437,4047,1478,4351,2097,1067,3195,5139,5770
Sutterella,genus,2631,3410,3090,1717,1492,1962,32,1582,0,3247,4307
Rhodospirillaceae,family,3098,1735,898,3701,4194,2453,65,19601,206,1022,2086
Sporobacter,genus,120,149,141,226,40,129,48,64,292,96,81
Pseudobutyrivibrio,genus,21882,24442,21885,18905,11493,25167,19055,13672,32415,22991,18069
Parabacteroides merdae,species,6918,8062,8735,9412,6331,7889,10080,5967,14326,7848,9861
Bacteroides caccae,species,4571,4682,4761,5259,6156,5617,8080,8656,5342,2031,2140
Lactobacillus crispatus,species,60,179,110,39,0,0,0,0,0,0,0
Verrucomicrobiales,order,157565,94463,81075,132034,325442,79376,270270,284238,95631,20311,24219
Flavobacteriaceae,family,1879,1615,898,798,430,1691,845,501,1133,1160,1259
Chlamydiae/Verrucomicrobia group,superphylum,160483,98083,84276,134977,327351,82165,272709,286013,102228,22908,29393
Anaerofilum,genus,180,194,0,173,94,167,0,25,0,69,0
Holdemania,genus,105,59,0,173,67,142,0,0,137,27,27
Holdemania filiformis,species,105,59,0,173,67,142,0,0,137,27,27
Fibrobacteres,phylum,120,59,141,186,174,232,0,128,103,207,108
Thermoanaerobacterales,order,240,388,331,279,241,206,260,205,687,165,392
Bacteroidetes/Chlorobi group,superphylum,230761,198770,191368,176596,195878,205433,277554,256816,294607,167615,227524
delta/epsilon subdivisions,subphylum,4481,4846,4856,5538,5283,5346,5853,4205,7455,4324,5445
Anaerobacter,genus,30,0,0,0,0,0,0,0,0,0,54
Verrucomicrobia,phylum,158512,95959,81990,132940,326114,80048,270921,284586,97211,20836,24856
Oxalobacteraceae,family,270,418,441,399,295,400,0,282,34,151,338
Burkholderiales,order,9925,13014,11147,9799,8119,9297,699,7910,1254,10970,14249
Enterococcaceae,family,451,463,346,399,53,142,0,0,68,0,0
Coriobacteriaceae,family,12783,14390,15199,13154,5646,13416,7674,6546,9602,18818,13355
Slackia,genus,60,89,31,53,0,51,0,0,68,82,54
Eggerthella,genus,105,179,157,133,188,129,178,424,68,41,27
Coriobacteridae,subclass,12858,14479,15294,13180,5672,13455,7674,6546,9654,18874,13477
Coriobacteriales,order,12858,14479,15294,13180,5672,13455,7674,6546,9654,18874,13477
Actinobacteridae,subclass,8692,12475,18763,19172,21952,22326,28371,20386,25355,68021,59708
Bifidobacteriales,order,8692,12475,18621,17294,21145,22016,28127,20360,25320,67966,59573
Bacteroides acidifaciens,species,90,59,126,173,53,245,162,90,360,580,934
Mogibacterium,genus,105,149,94,266,107,167,32,51,0,27,0
Blautia luti,species,7098,10500,15735,12754,4288,8109,7414,4643,7644,13112,10944
Bacilli,class,16452,20119,20229,20223,15405,29712,16421,9929,20287,18943,18191
Enterobacteriales,order,345,1062,457,1158,1344,1110,829,1852,240,41,0
Papillibacter,genus,75,254,236,106,80,142,81,38,154,96,67
Collinsella,genus,9940,11757,12472,9745,3777,10472,5983,4694,7352,16608,11391
Pseudoflavonifractor capillosus,species,105,209,157,186,94,142,97,90,120,55,67
Parasporobacterium,genus,105,59,94,0,0,0,0,0,68,0,0
Flavobacteriia,class,1879,1615,898,798,430,1691,845,501,1133,1160,1259
Oscillospira,genus,466,732,457,639,470,955,536,257,1065,414,474
Erysipelotrichaceae,family,5323,10725,11935,12608,3562,9529,5186,4758,6029,12117,7883
Fibrobacteres/Acidobacteria group,superphylum,120,59,141,186,174,232,0,128,103,207,108
cellular organisms,no_rank,1015896,1028197,1036596,1035401,1018779,1025309,1023428,1014881,1013811,1033948,1028432
Turicibacter sanguinis,species,1007,2198,1923,1397,201,761,422,501,446,1975,826
Thalassospira,genus,3098,1705,867,3701,4127,2427,65,19164,171,1022,2058
Anaerotruncus colihominis,species,75,0,0,26,0,64,32,64,34,41,27
Bacteroidales,order,228851,197154,190470,175717,195448,203703,276709,256315,293439,166330,226210
Rikenellaceae,family,22002,22692,23225,23033,17328,20299,25558,13775,31419,15848,27809
Porphyromonadaceae,family,45824,47448,47270,55452,53987,56662,69994,85031,82868,36960,55130
Victivallis,genus,1970,2124,2286,2037,1236,2117,1788,1427,5016,2072,4537
Methanobacteria,class,15069,27359,35776,34509,17865,24508,22323,14508,11303,33561,27741
Clostridia,class,537169,613199,629450,591234,401718,607236,374441,373308,518217,664990,611202
Clostridiales,order,536507,612466,628819,590435,401045,606371,373823,372935,516912,664492,610524
Lachnospiraceae,family,216308,232965,249708,215992,122129,212820,163336,112748,244206,261350,217785
Peptostreptococcaceae,family,15670,29274,35429,28651,10875,17226,13397,9144,15254,19468,13965
Eubacteriaceae,family,30,104,157,332,201,154,227,115,85,165,189
Peptococcaceae,family,6421,11159,11431,12808,6815,9943,7088,5337,6647,5167,5634
unclassified Clostridiales,no_rank,14948,16768,15420,16882,16212,20092,15088,13402,23929,14203,16972
Thermoanaerobacteraceae,family,240,388,331,279,241,206,260,205,687,165,392
Lactobacillales,order,16377,20044,20182,20104,15217,29557,16372,9813,20184,18791,18110
Gelria,genus,240,388,331,279,241,206,260,205,687,165,392
Dorea,genus,4556,5370,7852,6177,1532,4170,3251,2083,4878,10031,6975
Turicibacter,genus,1097,2258,1970,1464,201,787,455,501,446,2114,880
Desulfovibrionaceae,family,4451,4846,4856,5511,5256,5320,5853,4205,7352,4324,5445
Bacteroidia,class,228881,197154,190470,175797,195448,203742,276709,256315,293473,166454,226264
Flavobacteriales,order,1879,1615,898,798,430,1691,845,501,1133,1160,1259
Actinobacteria,phylum,21581,26955,34057,32352,27625,35782,36127,26933,35181,86895,73186
Verrucomicrobiae,class,157565,94463,81075,132034,325442,79376,270270,284238,95631,20311,24219
Verrucomicrobiaceae,family,157565,94463,81075,132034,325442,79376,270270,284238,95631,20311,24219
Fibrobacteria,class,120,59,141,186,174,232,0,128,103,207,108
Fibrobacteraceae,family,120,59,141,186,174,232,0,128,103,207,108
Rhodospirillales,order,3098,1735,898,3701,4221,2453,65,19601,206,1022,2086
Bacteroides massiliensis,species,150,29,47,26,591,116,959,823,103,82,0
Anaerostipes,genus,8978,13088,14427,20503,7944,15108,13381,10559,13124,22397,14886
Desulfovibrionales,order,4481,4846,4856,5511,5256,5320,5853,4205,7421,4324,5445
Subdoligranulum variabile,species,8015,7913,6795,8907,5740,17574,113,8450,120,23572,25831
Oscillospiraceae,family,2135,957,1135,1930,1882,2388,1593,2019,1769,1519,1192
Bifidobacterium longum,species,75,89,31,0,228,0,146,102,103,165,203
Faecalibacterium,genus,150632,177514,171076,154601,92689,156015,24306,96658,20528,192237,178828
Fibrobacterales,order,120,59,141,186,174,232,0,128,103,207,108
Methanomicrobia,class,827,837,819,892,914,800,1105,372,2508,386,690
Alistipes,genus,20603,21660,22058,22527,16844,19782,24989,13453,30165,14355,25221
Akkermansia,genus,157490,94389,81075,131835,325133,79221,269847,284161,95219,20228,24151
Hespellia,genus,391,299,425,346,147,451,308,90,360,290,325
Anaerotruncus,genus,6166,6133,4099,8813,5793,8780,5023,4848,8881,8000,9712
Marvinbryantia,genus,782,1077,1324,1411,618,1510,1463,913,996,2335,1855
Victivallaceae,family,1970,2124,2286,2037,1236,2117,1788,1427,5016,2072,4537
Coriobacterineae,suborder,12783,14390,15199,13154,5646,13416,7674,6546,9602,18818,13355
Lentisphaerae,phylum,1970,2124,2286,2037,1236,2117,1788,1427,5016,2072,4537
Catabacter,genus,75,29,0,0,0,0,0,0,0,0,27
Victivallales,no_rank,1970,2124,2286,2037,1236,2117,1788,1427,5016,2072,4537
Odoribacter,genus,8316,11174,10753,10637,4812,10317,7674,5877,13072,8276,13830
Bacteroides salyersiae,species,5579,5415,5534,4606,4032,1936,4763,6250,4243,2031,2654
Subdoligranulum,genus,17189,17232,14915,21968,14545,28279,861,15228,652,40359,41557
Flavonifractor plautii,species,751,359,488,612,470,1033,487,900,944,303,379
Roseburia hominis,species,706,388,189,931,403,658,373,295,807,773,880
Dialister propionicifaciens,species,4226,3784,3374,3927,1451,4287,2097,1067,3126,5112,5540
Bacteroides plebeius,species,40214,28361,22925,7975,6197,25219,31151,16437,48580,41921,46447
Bacteroides finegoldii,species,977,493,1103,652,1841,477,3333,4823,1219,276,243
Bifidobacterium tsurumiense,species,165,179,409,0,0,0,0,0,0,0,0
Roseburia inulinivorans,species,10016,8586,5534,3461,2970,6482,3999,2713,5651,7557,6271
Parabacteroides,genus,16723,16604,17454,23139,27007,23127,33639,58933,36091,15516,19803
Parabacteroides johnsonii,species,2451,2438,2333,3315,4516,4945,5300,7987,5548,1892,2411
Barnesiella,genus,11535,11233,10091,10797,14531,15908,17543,8977,18363,7005,11594
Opitutae,class,947,1495,914,905,672,671,617,347,1546,525,636
Puniceicoccales,order,947,1495,914,905,672,671,617,347,1494,525,636
Catabacteriaceae,family,75,29,0,0,0,0,0,0,0,0,27
Moryella,genus,330,74,94,146,0,116,81,77,120,138,27
Adlercreutzia equolifaciens,species,1759,1166,1072,1304,739,1291,536,450,1116,635,501
Adlercreutzia,genus,1759,1166,1072,1304,739,1291,536,450,1116,635,501
unclassified Methanomicrobia,no_rank,827,837,819,892,914,800,1105,372,2508,386,690
Oscillibacter,genus,375,314,362,346,430,413,325,244,446,414,406
Gordonibacter pamelaeae,species,210,403,268,585,309,219,0,167,0,248,203
Barnesiella intestinihominis,species,10497,10426,9365,10171,13295,14578,15169,8180,16199,6590,10281
Parasutterella excrementihominis,species,6782,8750,7473,6883,5982,6843,666,5363,1219,7323,9170
Synergistetes,phylum,3804,4517,4446,3821,4610,5087,5706,4115,9293,3095,3169
Cloacibacillus,genus,2180,2767,2633,2396,2836,3073,3511,2340,5084,1340,1219
Erysipelotrichia,class,5323,10725,11935,12608,3562,9529,5186,4758,6029,12117,7883
Erysipelotrichales,order,5323,10725,11935,12608,3562,9529,5186,4758,6029,12117,7883
Clostridiales incertae sedis,no_rank,616,673,851,1903,524,916,731,282,841,525,460
Ruminococcaceae,family,184199,208927,197518,199403,131351,212755,50467,150190,43959,245834,236505
Clostridiales Family XI. Incertae Sedis,family,30,0,0,679,26,116,0,0,0,0,0
Parvimonas,genus,30,0,0,0,0,0,0,0,0,0,0
Clostridiales Family XIII. Incertae Sedis,family,586,643,788,998,443,671,601,282,841,497,406
Tenericutes,phylum,75,0,31,39,53,77,0,0,0,179,609
Butyricimonas virosa,species,1955,2169,2349,2596,1290,1885,2146,1864,2731,2003,3372
Anaerotruncus sp. NML 070203,species,1278,2019,1797,1850,2231,3060,2113,1980,4380,1879,2207
Blautia,genus,63841,82601,95408,76089,44751,78898,68693,45287,85496,94868,88398
Butyricimonas,genus,7053,6596,6858,8041,6156,6120,9478,10392,11595,5291,8316
Parabacteroides gordonii,species,60,59,0,119,416,0,520,1144,223,0,0
Parasutterella,genus,6872,8990,7505,7056,6130,6843,666,5787,1219,7447,9427
Enterorhabdus,genus,90,29,78,66,40,51,130,38,34,151,108
Hydrogenoanaerobacterium,genus,451,538,630,439,510,981,406,475,1168,345,365
Alistipes indistinctus,species,225,239,488,426,483,245,422,231,377,290,243
Odoribacter laneus,species,6617,9483,9129,8946,4247,9052,6796,5183,11131,7115,11906
Pyramidobacter,genus,1624,1750,1813,1424,1774,1949,2194,1774,4174,1754,1950
Bacteroides sp. TP-5,species,315,74,126,0,147,0,195,64,188,138,94
Gordonibacter,genus,210,403,268,585,309,245,0,167,0,248,203
Synergistia,class,3804,4517,4446,3821,4610,5087,5706,4115,9293,3095,3169
Synergistales,order,3804,4517,4446,3821,4610,5087,5706,4115,9293,3095,3169
Synergistaceae,family,3804,4517,4446,3821,4610,5087,5706,4115,9293,3095,3169
Anaerosporobacter,genus,315,194,299,226,80,645,634,437,893,207,230
Parvimonas sp. oral taxon 393,species,30,0,0,0,0,0,0,0,0,0,0
Caldicoprobacteraceae,family,60,104,110,79,80,400,178,51,171,41,108
Bacteroides stercorirosoris,species,135,119,110,66,134,116,97,25,103,55,0
Blautia stercoris,species,526,688,914,426,282,929,569,501,309,1547,1070
Blautia faecis,species,5955,7329,6070,6710,2944,10989,6779,3678,4431,16552,16159
Selenomonadales,order,6376,6910,6575,7615,4610,6482,4324,4321,4827,6659,6881
Acidaminococcaceae,family,1864,2976,3074,3221,2997,1949,2048,2893,1477,1436,975
Negativicutes,class,6376,6910,6575,7615,4610,6482,4324,4321,4827,6659,6881
Flavonifractor,genus,6391,7748,6653,8334,9517,10692,7722,5402,13364,8912,11256
Sutterellaceae,family,9655,12550,10658,8893,7675,8806,699,7627,1219,10818,13884
Pseudoflavonifractor,genus,105,209,157,186,94,142,97,90,120,55,67
Dielma fastidiosa,species,45,0,0,0,80,64,32,77,0,0,0
Methanomassiliicoccus,genus,827,837,819,892,914,800,1105,372,2508,386,690
Collinsella sp. GD3,species,782,553,725,1091,564,1355,146,205,154,1519,975
Lentisphaeria,class,1970,2124,2286,2037,1236,2117,1788,1427,5016,2072,4537
Intestinimonas,genus,451,284,283,332,174,284,243,270,841,331,365
Candidatus Stoquefichus,genus,225,74,47,53,26,0,0,0,0,0,0
Candidatus Soleaferrea,genus,90,0,31,53,53,103,32,0,68,27,27
Dielma,genus,45,0,0,0,134,180,32,128,0,69,27
Peptoclostridium,genus,105,179,378,79,0,0,0,0,34,0,0
Terrisporobacter,genus,2270,3500,3516,4832,2742,4584,3072,2147,4878,3647,4470
Intestinibacter,genus,9519,20433,25574,18732,4140,7889,5934,4205,5497,12338,5973
Erysipelatoclostridium,genus,3624,7883,9523,10025,2473,8044,4146,3704,5187,9782,6556
Alcaligenaceae,family,0,44,47,505,147,90,0,0,0,0,27
Acidaminococcus,genus,0,59,63,39,174,77,32,25,137,55,67
Acidaminococcus fermentans,species,0,59,63,39,174,77,32,25,137,55,67
Bifidobacterium breve,species,0,29,0,0,0,0,0,0,0,0,0
Bifidobacterium animalis,species,0,44,31,26,0,0,0,0,0,0,0
Oligella,genus,0,44,47,505,147,90,0,0,0,0,27
Oligella urethralis,species,0,44,47,505,147,90,0,0,0,0,27
Catenibacterium,genus,0,104,173,119,53,38,65,0,68,27,108
unclassified Bacillales,no_rank,0,29,0,39,0,25,0,0,0,0,0
Allisonella,genus,0,119,0,26,0,25,0,25,51,82,108
Catabacter hongkongensis,species,0,29,0,0,0,0,0,0,0,0,0
Bacteroides chinchillae,species,0,149,0,0,0,0,0,38,51,0,54
Murdochiella,genus,0,29,0,239,40,180,0,0,0,0,0
Pasteurellaceae,family,0,0,126,0,40,25,48,64,0,27,27
Haemophilus,genus,0,0,126,0,40,25,48,64,0,27,27
Haemophilus parainfluenzae,species,0,0,126,0,40,25,48,64,0,27,27
Prevotella,genus,0,0,94,399,295,542,65,25,51,0,0
Corynebacteriaceae,family,0,0,63,732,362,77,113,0,34,27,81
Brevibacterium,genus,0,0,78,239,53,25,48,0,0,0,0
Corynebacterium,genus,0,0,31,545,228,77,48,0,0,27,54
Actinomycetales,order,0,0,141,1877,806,309,243,25,34,55,135
Alistipes putredinis,species,0,0,63,0,0,0,0,0,0,0,0
Prevotella buccalis,species,0,0,94,399,295,542,0,0,51,0,0
Sutterella wadsworthensis,species,0,0,583,0,0,0,0,0,0,0,0
Corynebacterium durum,species,0,0,31,0,0,0,0,0,0,0,0
Collinsella aerofaciens,species,0,0,47,0,0,0,0,0,0,0,0
Micrococcineae,suborder,0,0,78,852,295,90,97,0,0,0,0
Corynebacterineae,suborder,0,0,63,732,362,77,113,25,34,27,81
Brevibacteriaceae,family,0,0,78,239,53,25,48,0,0,0,0
Pasteurellales,order,0,0,126,0,40,25,48,64,0,27,27
Brevibacterium paucivorans,species,0,0,78,239,53,25,48,0,0,0,0
Prevotellaceae,family,0,0,94,399,295,542,65,51,51,0,40
Porphyromonas somerae,species,0,0,31,146,188,25,0,0,0,0,0
Gracilibacteraceae,family,0,0,31,0,0,0,0,0,0,0,0
Campylobacter,genus,0,0,0,26,26,25,0,0,0,0,0
Enterobacter,genus,0,0,0,79,40,38,0,0,0,0,0
Campylobacter ureolyticus,species,0,0,0,26,26,25,0,0,0,0,0
Micrococcaceae,family,0,0,0,266,107,38,0,0,0,0,0
Staphylococcus,genus,0,0,0,26,0,0,0,0,0,0,0
Actinomyces,genus,0,0,0,26,0,0,32,0,0,27,54
Arthrobacter,genus,0,0,0,266,107,38,0,0,0,0,0
Actinomycetaceae,family,0,0,0,292,147,142,32,0,0,27,54
Mobiluncus,genus,0,0,0,79,0,0,0,0,0,0,0
Mobiluncus mulieris,species,0,0,0,79,0,0,0,0,0,0,0
Peptococcus niger,species,0,0,0,39,40,0,0,0,0,0,0
Epsilonproteobacteria,class,0,0,0,26,26,25,0,0,0,0,0
Succiniclasticum,genus,0,0,0,119,161,64,0,0,0,0,0
Brachybacterium,genus,0,0,0,39,0,0,0,0,0,0,0
Facklamia,genus,0,0,0,79,0,25,0,0,0,0,0
Campylobacteraceae,family,0,0,0,26,26,25,0,0,0,0,0
Facklamia languida,species,0,0,0,79,0,25,0,0,0,0,0
Actinomycineae,suborder,0,0,0,292,147,142,32,0,0,27,54
Dermabacteraceae,family,0,0,0,39,0,0,0,0,0,0,0
Microbacteriaceae,family,0,0,0,306,134,25,48,0,0,0,0
Staphylococcaceae,family,0,0,0,26,0,0,0,0,0,0,0
Finegoldia,genus,0,0,0,26,0,64,0,0,0,0,0
Peptoniphilus,genus,0,0,0,346,0,25,0,0,0,0,0
Gallicola,genus,0,0,0,26,26,0,0,0,0,0,0
Anaerococcus,genus,0,0,0,279,0,25,0,0,0,0,0
Varibaculum,genus,0,0,0,186,147,142,0,0,0,0,0
Varibaculum cambriense,species,0,0,0,186,147,142,0,0,0,0,0
Aerococcaceae,family,0,0,0,79,0,25,0,0,0,0,0
Chloroflexi,phylum,0,0,0,26,0,25,0,0,0,0,0
Rhodocyclales,order,0,0,0,93,0,0,0,0,0,0,40
Campylobacterales,order,0,0,0,26,26,25,0,0,0,0,0
Fastidiosipila,genus,0,0,0,146,228,206,0,0,0,27,0
Pseudoclavibacter,genus,0,0,0,306,134,25,48,0,0,0,0
Mobiluncus/Falcivibrio group,no_rank,0,0,0,79,0,0,0,0,0,0,0
Anaerolineae,class,0,0,0,26,0,25,0,0,0,0,0
Anaerolineaceae,family,0,0,0,26,0,25,0,0,0,0,0
Anaerolineales,order,0,0,0,26,0,25,0,0,0,0,0
Porphyromonas bennonis,species,0,0,0,93,0,25,0,0,0,0,40
Pseudoclavibacter sp. Timone,species,0,0,0,306,134,25,48,0,0,0,0
Corynebacterium canis,species,0,0,0,439,134,77,48,0,0,27,27
Anaerococcus sp. 9402080,species,0,0,0,199,0,0,0,0,0,0,0
Intestinimonas butyriciproducens,species,0,0,0,26,0,0,0,25,0,0,27
Granulicatella adiacens,species,0,0,0,0,26,90,0,0,34,27,0
Arthrobacter albus,species,0,0,0,0,107,0,0,0,0,0,0
Granulicatella,genus,0,0,0,0,26,90,0,0,34,27,0
Carnobacteriaceae,family,0,0,0,0,26,90,0,0,34,27,0
Bacteroides nordii,species,0,0,0,0,40,51,0,141,326,317,270
Anaerostipes hadrus,species,0,0,0,0,80,0,0,0,0,0,0
Bacillus,genus,0,0,0,0,0,25,48,38,0,82,27
Bacillaceae,family,0,0,0,0,0,25,48,38,0,82,27
Acetanaerobacterium,genus,0,0,0,0,0,25,0,0,0,0,0
Dialister succinatiphilus,species,0,0,0,0,0,25,0,0,0,0,27
Caldicoprobacter,genus,0,0,0,0,0,245,81,0,68,0,40
Spirochaetales,order,0,0,0,0,0,0,32,0,0,0,0
Porphyromonas gingivalis,species,0,0,0,0,0,0,48,0,0,0,0
Selenomonas,genus,0,0,0,0,0,0,32,0,0,0,0
Prevotella intermedia,species,0,0,0,0,0,0,65,0,0,0,0
Spirochaetes,phylum,0,0,0,0,0,0,32,0,0,0,0
Spirochaetia,class,0,0,0,0,0,0,32,0,0,0,0
unclassified Verrucomicrobia,no_rank,0,0,0,0,0,0,32,0,34,0,0
Neisseriaceae,family,0,0,0,0,0,0,0,38,0,0,0
Neisseria,genus,0,0,0,0,0,0,0,38,0,0,0
Bifidobacterium adolescentis,species,0,0,0,0,0,0,0,25,0,0,0
Mycobacteriaceae,family,0,0,0,0,0,0,0,25,0,0,0
Neisseriales,order,0,0,0,0,0,0,0,38,0,0,0
Anaerofustis stercorihominis,species,0,0,0,0,0,0,0,25,0,0,0
Anaerofustis,genus,0,0,0,0,0,0,0,25,0,0,0
Prevotella nanceiensis,species,0,0,0,0,0,0,0,25,0,0,0
Alloprevotella,genus,0,0,0,0,0,0,0,25,0,0,0
Fusobacterium,genus,0,0,0,0,0,0,0,0,34,0,0
Fusobacterium nucleatum,species,0,0,0,0,0,0,0,0,34,0,0
Veillonella,genus,0,0,0,0,0,0,0,0,68,0,27
Fusobacteria,phylum,0,0,0,0,0,0,0,0,34,0,0
Bilophila wadsworthia,species,0,0,0,0,0,0,0,0,51,27,0
Veillonella atypica,species,0,0,0,0,0,0,0,0,68,0,0
Fusobacteriia,class,0,0,0,0,0,0,0,0,34,0,0
Fusobacteriales,order,0,0,0,0,0,0,0,0,34,0,0
Fusobacteriaceae,family,0,0,0,0,0,0,0,0,34,0,0
Leuconostoc,genus,0,0,0,0,0,0,0,0,0,41,0
Gemella,genus,0,0,0,0,0,0,0,0,0,69,27
Leuconostocaceae,family,0,0,0,0,0,0,0,0,0,41,0
Leuconostoc inhae,species,0,0,0,0,0,0,0,0,0,41,0
Bacillales incertae sedis,no_rank,0,0,0,0,0,0,0,0,0,69,27
Bacillales Family XI. Incertae Sedis,no_rank,0,0,0,0,0,0,0,0,0,69,27
